,Unnamed: 0,ID,player_name,team,overall_innings,overall_runs,balls,overall_average,strike_rate,centuries,thirties,fifties,zeros,overall_notout,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
408,408,409,Asghar Stanikzai,Afghanistan,61,1256,1180,22.83636364,98.7335704,0,14,3,4,6,0,61,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10,231,2,2,1,0,1,25.66666667,0,0,1256.0,6.0,22.83636364,0.0,0.0,4.0,14.0,3.0,0.0,0.0,2.2333700059140127,5.259740259740259,2.2333700059140127
409,409,410,MJ Lumb,England,27,552,422,21.23076923,115.5807968,0,4,3,1,1,6,21,103.0,0.0,17.16666667,0.0,0.0,0.0,1.0,0.0,0.0,10,212,1,2,1,0,0,21.2,0,0,449.0,1.0,22.45,0.0,0.0,1.0,3.0,3.0,0.0,0.7873786409126214,1.366403118040089,5.283018867924529,1.4606187290706523
410,410,411,C Kieswetter,England,25,526,480,22.86956522,94.90265183,0,4,3,2,2,10,15,191.0,2.0,23.875,0.0,0.0,0.0,0.0,2.0,0.0,10,166,2,2,1,0,0,16.6,0,0,335.0,0.0,22.33333333,0.0,0.0,2.0,4.0,1.0,0.0,1.1891361256544501,1.1029850745223877,5.36144578313253,1.4737973219581746
411,411,412,NLTC Perera,Sri Lanka,73,1204,827,25.08333333,129.8099103,0,10,3,8,25,29,44,399.0,10.0,21.0,0.0,0.0,5.0,1.0,2.0,0.0,10,184,1,1,1,0,3,26.28571429,0,0,805.0,15.0,27.75862069,0.0,0.0,3.0,9.0,1.0,0.0,1.613533834586466,1.9639323195677016,5.244565217391304,2.51973283485299
412,412,413,LD Chandimal,Sri Lanka,50,868,845,19.28888889,94.29811197,0,5,5,0,5,17,33,267.0,2.0,17.8,0.0,0.0,0.0,2.0,1.0,0.0,10,175,0,1,1,0,3,25.0,0,0,601.0,3.0,20.03333333,0.0,0.0,0.0,3.0,4.0,0.0,1.1753558052434459,1.6759900165108153,5.257142857142857,2.0738607271313363
413,413,414,Shapoor Zadran,Afghanistan,9,27,67,4.5,31.499519,0,0,0,2,3,0,9,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9,27,2,0,0,0,3,4.5,0,0,27.0,3.0,4.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0499999999999998,4.5,1.0499999999999998
414,414,415,DT Christian,Australia,7,27,28,6.75,119.4139194,0,0,0,1,3,3,4,10.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,7,27,1,0,0,0,3,6.75,0,0,17.0,1.0,5.666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.9333333333882353,3.5,1.2249999999999999
415,415,416,GH Dockrell,Ireland,35,267,224,14.83333333,109.9260739,0,1,0,4,17,9,26,65.0,3.0,10.83333333,0.0,0.0,1.0,0.0,0.0,0.0,10,63,0,0,0,0,8,31.5,0,0,202.0,14.0,16.83333333,0.0,0.0,3.0,1.0,0.0,0.0,1.0499999996769231,1.7097359732970294,5.0,1.5577403242883894
416,416,417,AN Petersen,South Africa,2,14,19,7.0,76.19047619,0,0,0,0,0,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14,0,0,0,0,0,7.0,0,0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,1.0,0.6999999999999998
417,417,418,KAJ Roach,West Indies,1,3,2,0.0,150.0,0,0,0,0,1,1,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,1,0.0,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
418,418,419,Abdur Rehman,Pakistan,4,18,24,6.0,103.125,0,0,0,0,1,0,4,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4,18,0,0,0,0,1,6.0,0,0,18.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333331,2.0,0.9333333333333331
419,419,420,DA Miller,South Africa,71,1525,1126,31.77083333,123.9473394,1,14,3,0,23,38,33,837.0,11.0,31.0,0.0,0.0,0.0,9.0,2.0,0.0,10,234,0,1,1,0,4,39.0,0,0,688.0,12.0,32.76190476,0.0,0.0,0.0,5.0,1.0,1.0,1.8704898446833933,1.8914244185406979,5.1923076923076925,2.711482240328525
420,420,421,S Randiv,Sri Lanka,2,8,6,4.0,125.0,0,0,0,0,0,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,0,0,0,0,0,4.0,0,0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.7
421,421,422,UWMBCA Welegedara,Sri Lanka,1,2,3,0.0,66.66666667,0,0,0,0,1,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,1,0.0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
422,422,423,RJ Nicol,New Zealand,19,327,315,17.21052632,87.15560416,0,3,2,2,0,5,14,137.0,0.0,27.4,0.0,0.0,0.0,1.0,1.0,0.0,10,141,1,1,1,0,0,14.1,0,0,190.0,0.0,13.57142857,0.0,0.0,2.0,2.0,1.0,0.0,0.8642335766423356,1.1421052630842103,5.319148936170214,1.3100917432905197
423,423,424,Zulqarnain Haider,Pakistan,2,18,22,9.0,59.72222222,0,0,0,0,0,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18,0,0,0,0,0,9.0,0,0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.7
