ID,player_name,team,overall_innings,overall_average,strike_rate,centuries,thirties,fifties,zeros,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
463,BMAJ Mendis,Sri Lanka,15,20.7,102.144239,0,2,0,1,1.3196581195384600,0.7000000000000000,5.129310344827590,1.267391304347830
171,J Mubarak,Sri Lanka,14,22.1,113.4855641,0,3,0,2,0.7000000000000000,1.2923611110625,5.129310344827590,1.2650678733031700
304,KMDN Kulasekara,Sri Lanka,29,9.333333333,79.85482908,0,1,0,5,0.9625000000000000,1.180168269215630,5.0,1.1886054421423500
465,HMRKB Herath,Sri Lanka,5,2.666666667,78.0,0,0,0,0,0.0,0.9333333332000000,2.5,1.1666666668125000
884,JRMVB Sanjaya,Sri Lanka,5,6.666666667,131.4285714,0,0,0,0,0.7000000000000000,1.4000000000000000,2.5,1.166666666725
776,RAS Lakmal,Sri Lanka,5,2.333333333,55.0,0,0,0,2,1.4000000000000000,1.0500000000000000,2.5,1.1666666665
746,DM de Silva,Sri Lanka,15,23.64285714,99.68272802,0,2,2,0,0.9155688621916170,0.9521341463414640,5.243243243243240,1.1578549848036300
747,TAM Siriwardana,Sri Lanka,19,17.1875,98.59268269,0,3,0,4,0.7821917808219180,1.0977722770544600,5.148514851485150,1.1421590909090900
624,S Prasanna,Sri Lanka,20,15.28571429,116.8465007,0,1,0,0,0.9333333333333330,1.1654210821104300,5.101351351351350,1.1401869161682200
528,HDRL Thirimanne,Sri Lanka,20,17.11764706,98.77008939,0,3,0,1,0.8997289974796750,1.0535714285714300,5.180722891566270,1.1328077623367700
539,EMDY Munaweera,Sri Lanka,13,17.91666667,108.119824,0,2,1,1,1.018589743432690,0.8621621621621620,5.331491712707180,1.1211240311488400
42,WU Tharanga,Sri Lanka,26,16.28,100.4247763,0,4,0,3,0.8902255639097740,0.9956204378540150,5.157068062827230,1.1112923832923800
1604,KNA Bandara,Sri Lanka,3,37.5,132.0373005,0,1,0,0,0.0,1.11,1.56,1.11
756,GSNFG Jayasuriya,Sri Lanka,16,15.0625,88.09887126,0,4,0,1,0.890140845169014,0.8515151515151510,5.127118644067800,1.0983402489626600
103,SL Malinga,Sri Lanka,31,6.8,69.4861378,0,0,0,9,1.0000000000666700,1.130769230790570,5.0,1.085
170,HMCM Bandara,Sri Lanka,3,6.0,75.92592593,0,0,0,0,1.4,0.7,1.5,1.0500000000000000
1165,A Dananjaya,Sri Lanka,12,7.25,80.7224026,0,0,0,2,0.875,1.225,5.0,1.0500000000000000
1265,PBB Rajapaksa,Sri Lanka,6,28.0,100.4960317,0,1,1,0,0.0,1.0328571428571400,3.192857142857140,1.0328571428571400
1272,BOP Fernando,Sri Lanka,5,27.25,102.6286393,0,0,1,0,0.0,1.0126146788990800,2.637614678899080,1.0126146788990800
169,LPC Silva,Sri Lanka,15,13.46153846,94.54963165,0,1,0,0,0.0,0.8902097904545460,5.0,0.9362637361714290
1163,WIA Fernando,Sri Lanka,14,13.92857143,85.00067754,0,2,0,1,0.808695652173913,0.807142857142857,5.178571428571430,0.9153846154564100
670,KDK Vithanage,Sri Lanka,3,13.33333333,63.58024691,0,1,0,0,0.7,0.7769230769230770,1.6125,0.812499999825
1603,P Nissanka,Sri Lanka,3,27.0,101.3522589,0,2,0,0,0.0,0.811111111111111,1.611111111111110,0.811111111111111
1271,S Samarawickrama,Sri Lanka,7,13.85714286,89.96479711,0,1,0,1,0.0,0.8082474228247420,3.608247422680410,0.8082474228247420
1374,PHKD Mendis,Sri Lanka,4,16.5,89.52380952,0,1,0,1,0.7000000000000000,0.807142857142857,2.090909090909090,0.7909090909090910
100,RP Arnold,Sri Lanka,1,7.0,87.5,0,0,0,0,0.0,0.7000000000000000,0.5,0.7000000000000000
102,MF Maharoof,Sri Lanka,4,5.0,47.76785714,0,0,0,1,0.0,0.7000000000000000,2.0,0.7000000000000000
104,CRD Fernando,Sri Lanka,5,5.0,46.33333333,0,0,0,2,0.0,0.7000000000000000,2.5,0.7000000000000000
168,MS Atapattu,Sri Lanka,1,5.0,62.5,0,0,0,0,0.0,0.7000000000000000,0.5,0.7000000000000000
302,SHT Kandamby,Sri Lanka,2,6.0,66.66666667,0,0,0,0,0.7,0.7000000000000000,1.0,0.7000000000000000
303,T Thushara,Sri Lanka,2,2.0,50.0,0,0,0,0,0.7000000000000000,0.7,1.0,0.7
334,M Muralitharan,Sri Lanka,2,0.5,12.5,0,0,0,1,0.7,0.0,1.0,0.7
338,RJMGM Rupasinghe,Sri Lanka,2,16.5,85.71428571,0,0,0,0,0.7,0.0,1.0,0.7
421,S Randiv,Sri Lanka,2,4.0,125.0,0,0,0,0,0.0,0.7,1.0,0.7
464,MDK Perera,Sri Lanka,2,0.5,12.5,0,0,0,1,0.0,0.7,1.0,0.7
