ID,player_name,team,overall_innings,overall_runs,balls,overall_average,strike_rate,centuries,thirties,fifties,zeros,overall_notout,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
334,M Muralitharan,Sri Lanka,2,1,5,0.5,12.5,0,0,0,1,0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,1.0,0.7
338,RJMGM Rupasinghe,Sri Lanka,2,33,39,16.5,85.71428571,0,0,0,0,0,2,0,33.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,2,33,0,0,0,0,0,16.5,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.7
421,S Randiv,Sri Lanka,2,8,6,4.0,125.0,0,0,0,0,0,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,0,0,0,0,0,4.0,0,0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.7
464,MDK Perera,Sri Lanka,2,1,8,0.5,12.5,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,0,0.5,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.7
529,KS Lokuarachchi,Sri Lanka,2,11,13,5.5,55.0,0,0,0,1,0,2,0,11.0,0.0,5.5,0.0,0.0,1.0,0.0,0.0,0.0,2,11,1,0,0,0,0,5.5,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.7
551,RMS Eranga,Sri Lanka,1,6,8,6.0,75.0,0,0,0,0,0,1,0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,6.0,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000000,0.0,0.5,0.7000000000000000
641,AK Perera,Sri Lanka,5,59,68,11.8,91.3030303,0,0,0,0,0,0,5,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5,59,0,0,0,0,0,11.8,0,0,59.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.5,0.7
843,SS Pathirana,Sri Lanka,5,27,26,5.4,87.33333333,0,0,0,0,0,2,3,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5,27,0,0,0,0,0,5.4,0,0,19.0,0.0,6.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6999999999631580,2.5,0.7
845,RLB Rambukwella,Sri Lanka,1,19,16,19.0,118.75,0,0,0,0,0,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,0,0,0,0,0,19.0,0,0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.7
880,ST de Silva,Sri Lanka,2,3,7,1.5,25.0,0,0,0,1,0,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1,0,0,0,0,1.5,0,0,3.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7000000000000000,1.0,0.7000000000000000
1191,LD Madushanka,Sri Lanka,2,21,26,10.5,60.14492754,0,0,0,0,0,1,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2,21,0,0,0,0,0,10.5,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000000,0.7,1.0,0.7
1518,PC de Silva,Sri Lanka,2,22,22,11.0,77.5,0,0,0,0,0,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,22,0,0,0,0,0,11.0,0,0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.7
1564,MVT Fernando,Sri Lanka,1,2,2,2.0,100.0,0,0,0,0,0,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,0,2.0,0,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.7
